ticker,date,total_volume,call_volume,put_volume,open_interest,vol_oi_ratio,put_call_ratio,top_call_strike,top_call_strike_volume,top_call_expiry,top_put_strike,top_put_strike_volume,top_put_expiry,stock_price
SKY,2026-07-10,640,400,240,17227,0.04,0.6,90.0,202.0,2026-07-17,75.0,120.0,2026-07-17,82.1050033569336
MARA,2026-07-10,228820,191068,37752,475398,0.48,0.2,13.5,37432.0,2026-07-10,12.5,9028.0,2026-07-10,12.729900360107422
ZETA,2026-07-10,9018,7483,1535,103795,0.09,0.21,22.0,1478.0,2026-07-17,22.5,333.0,2026-07-17,21.32999992370605
CNX,2026-07-10,647,410,237,4374,0.15,0.58,30.0,135.0,2026-07-17,31.0,67.0,2026-08-21,31.76499938964844
SYNA,2026-07-10,537,308,229,3899,0.14,0.74,155.0,93.0,2026-07-17,40.0,75.0,2026-07-17,126.81999969482422
TXG,2026-07-10,490,400,90,8420,0.06,0.22,35.0,128.0,2026-07-17,15.0,30.0,2026-08-21,42.31499862670898
OPEN,2026-07-10,89507,68059,21448,202023,0.44,0.32,5.5,21336.0,2026-07-17,5.0,9893.0,2026-07-10,4.894999980926514
ACLS,2026-07-10,1008,749,259,9144,0.11,0.35,260.0,359.0,2026-08-21,230.0,51.0,2026-08-21,143.59500122070312
SPHR,2026-07-10,404,225,179,6668,0.06,0.8,155.0,20.0,2026-08-21,80.0,24.0,2026-07-17,149.0
AZZ,2026-07-10,430,256,174,1698,0.25,0.68,155.0,81.0,2026-07-17,130.0,60.0,2026-07-17,143.89999389648438
CBT,2026-07-10,2048,2029,19,631,3.25,0.01,95.0,1922.0,2026-07-17,55.0,7.0,2026-07-17,88.08999633789062
FLG,2026-07-10,2775,1861,914,91715,0.03,0.49,14.0,1101.0,2026-07-17,14.0,450.0,2026-08-21,15.145000457763672
HRI,2026-07-10,411,83,328,1212,0.34,3.95,155.0,11.0,2026-07-17,145.0,300.0,2026-07-17,152.6999969482422
DNTH,2026-07-10,507,408,99,4146,0.12,0.24,75.0,250.0,2026-08-21,85.0,60.0,2026-08-21,98.29000091552734
LGN,2026-07-10,292,265,27,3275,0.09,0.1,75.0,100.0,2026-07-17,65.0,7.0,2026-07-17,74.375
BMI,2026-07-10,350,156,194,1505,0.23,1.24,150.0,64.0,2026-07-17,135.0,123.0,2026-07-17,144.8249969482422
CRNX,2026-07-10,1696,1047,649,9783,0.17,0.62,55.0,550.0,2026-07-17,80.0,195.0,2026-07-17,83.63500213623047
RXO,2026-07-10,320,234,86,13871,0.02,0.37,20.0,100.0,2026-08-21,7.5,15.0,2026-08-21,26.26000022888184
TENB,2026-07-10,2275,558,1717,17218,0.13,3.08,50.0,151.0,2026-08-21,33.0,1502.0,2026-08-21,40.29999923706055
DIOD,2026-07-10,307,132,175,1512,0.2,1.33,115.0,50.0,2026-08-21,120.0,43.0,2026-07-17,96.94280242919922
MUR,2026-07-10,263,157,106,8698,0.03,0.68,35.0,40.0,2026-07-17,35.0,33.0,2026-08-21,33.564998626708984
ORKA,2026-07-10,269,182,87,2088,0.13,0.48,25.0,40.0,2026-08-21,65.0,20.0,2026-07-17,87.66000366210938
VAL,2026-07-10,2486,2272,214,16437,0.15,0.09,75.0,2003.0,2026-08-21,45.0,58.0,2026-08-21,76.7300033569336
CECO,2026-07-10,436,123,313,4057,0.11,2.54,80.0,40.0,2026-07-17,75.0,219.0,2026-07-17,83.30500030517578
REZI,2026-07-10,235,84,151,4410,0.05,1.8,40.0,23.0,2026-07-17,35.0,128.0,2026-08-21,33.38999938964844
ALHC,2026-07-10,496,211,285,17314,0.03,1.35,22.5,99.0,2026-08-21,15.0,82.0,2026-07-17,19.6299991607666
BCO,2026-07-10,418,236,182,1983,0.21,0.77,100.0,74.0,2026-07-17,90.0,87.0,2026-07-17,103.43000030517578
TNGX,2026-07-10,801,288,513,5911,0.14,1.78,35.0,76.0,2026-07-17,28.0,209.0,2026-07-17,30.96999931335449
IRTC,2026-07-10,506,369,137,1042,0.49,0.37,130.0,200.0,2026-07-17,85.0,35.0,2026-07-17,115.93000030517578
BGC,2026-07-10,386,270,116,4408,0.09,0.43,14.0,100.0,2026-08-21,12.0,75.0,2026-07-17,10.885000228881836
XMTR,2026-07-10,356,147,209,4504,0.08,1.42,70.0,12.0,2026-07-17,95.0,152.0,2026-08-21,95.08000183105467
IRT,2026-07-10,699,660,39,722,0.97,0.06,2.5,480.0,2026-07-17,15.0,30.0,2026-07-17,16.69499969482422
CELC,2026-07-10,1720,1131,589,15978,0.11,0.52,170.0,223.0,2026-07-17,65.0,282.0,2026-07-17,108.8949966430664
PI,2026-07-10,294,159,135,2663,0.11,0.85,85.0,32.0,2026-07-17,70.0,25.0,2026-07-17,143.80499267578125
MHO,2026-07-10,329,288,41,1898,0.17,0.14,130.0,150.0,2026-07-17,135.0,10.0,2026-07-17,150.25
ANF,2026-07-10,1659,779,880,11405,0.15,1.13,95.0,47.0,2026-07-17,50.0,317.0,2026-07-17,92.59750366210938
POWI,2026-07-10,296,120,176,7859,0.04,1.47,85.0,19.0,2026-08-21,35.0,40.0,2026-07-17,71.95500183105469
URBN,2026-07-10,864,598,266,2560,0.34,0.44,70.0,200.0,2026-07-17,50.0,102.0,2026-07-17,69.17500305175781
ABG,2026-07-10,334,231,103,5292,0.06,0.45,220.0,100.0,2026-07-17,170.0,80.0,2026-07-17,214.1199951171875
CNR,2026-07-10,1167,188,979,6933,0.17,5.21,115.0,71.0,2026-07-17,85.0,473.0,2026-08-21,81.65499877929688
CSTM,2026-07-10,509,283,226,10563,0.05,0.8,30.0,42.0,2026-08-21,25.0,50.0,2026-08-21,29.604999542236328
DAVE,2026-07-10,783,289,494,5208,0.15,1.71,450.0,46.0,2026-07-17,420.0,92.0,2026-07-17,402.6600036621094
SLG,2026-07-10,469,375,94,12196,0.04,0.25,42.5,177.0,2026-07-17,42.5,10.0,2026-07-17,48.61539840698242
SKYW,2026-07-10,1798,73,1725,1031,1.74,23.63,80.0,11.0,2026-07-17,115.0,800.0,2026-07-17,99.59500122070312
